iter	Passed	Remaining
0	57	11474
1	57	5727
2	58	3810
3	58	2851
4	58	2276
5	58	1892
6	58	1618
7	58	1413
8	59	1254
9	59	1126
10	59	1021
11	59	934
12	59	860
13	60	797
14	60	742
15	60	694
16	60	652
17	60	614
18	60	580
19	61	550
20	61	522
21	61	497
22	61	474
23	61	453
24	62	434
25	62	416
26	62	400
27	62	384
28	62	370
29	62	356
30	63	344
31	63	332
32	63	321
33	63	311
34	63	301
35	64	292
36	64	283
37	64	274
38	64	266
39	64	259
40	65	252
41	65	245
42	65	238
43	65	232
44	65	226
45	65	220
46	66	215
47	66	209
48	66	204
49	66	199
50	66	195
51	66	190
52	67	186
53	67	181
54	67	177
55	67	173
56	67	169
57	67	166
58	68	162
59	68	159
60	68	155
61	68	152
62	68	149
63	68	146
64	69	143
65	69	140
66	69	137
67	69	135
68	69	132
69	69	129
70	70	127
71	70	124
72	70	122
73	70	120
74	70	117
75	70	115
76	71	113
77	71	111
78	71	109
79	71	107
80	71	105
81	71	103
82	72	101
83	72	99
84	72	98
85	72	96
86	72	94
87	72	92
88	73	91
89	73	89
90	73	88
91	73	86
92	73	84
93	73	83
94	74	81
95	74	80
96	74	79
97	74	77
98	74	76
99	74	74
100	75	73
101	75	72
102	75	71
103	75	69
104	75	68
105	75	67
106	76	66
107	76	64
108	76	63
109	76	62
110	76	61
111	77	60
112	77	59
113	77	58
114	77	57
115	77	56
116	78	55
117	78	54
118	78	53
119	78	52
120	78	51
121	78	50
122	79	49
123	79	48
124	79	47
125	79	46
126	79	45
127	79	44
128	80	44
129	80	43
130	80	42
131	80	41
132	80	40
133	80	39
134	80	38
135	81	38
136	81	37
137	81	36
138	81	35
139	81	35
140	81	34
141	82	33
142	82	32
143	82	32
144	82	31
145	82	30
146	82	29
147	83	29
148	83	28
149	83	27
150	83	27
151	83	26
152	83	25
153	83	25
154	84	24
155	84	23
156	84	23
157	84	22
158	84	21
159	84	21
160	85	20
161	85	20
162	85	19
163	85	18
164	85	18
165	85	17
166	86	17
167	86	16
168	86	15
169	86	15
170	86	14
171	86	14
172	87	13
173	87	13
174	87	12
175	87	11
176	87	11
177	87	10
178	88	10
179	88	9
180	88	9
181	88	8
182	88	8
183	88	7
184	89	7
185	89	6
186	89	6
187	89	5
188	89	5
189	89	4
190	90	4
191	90	3
192	90	3
193	90	2
194	90	2
195	90	1
196	91	1
197	91	0
198	91	0
199	91	0
